Date,Description,Original Description,Category,Amount,Status
2021-08-06,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,200.00,Posted
2021-08-05,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-80.00,Posted
2021-08-05,"Patreon","Patreon          Patreon    ***********J5I3",Entertainment,82.82,Posted
2021-08-03,"Overdraft Credit Card Advance","OD CC ADVANCE",Finance Charge,100.00,Posted
2021-08-02,"PayPal Purchase","PAYPAL           INST XFER  ***********TOPE",Uncategorized,-21.64,Posted
2021-08-02,"SiriusXM","SXM*SIRIUSXM.COM/ACCT    888-635-5144 NY",Music,-10.02,Posted
2021-07-29,"Google Drive","GOOGLE *Google Storage   855-836-3987 CA",Electronics & Software,-1.99,Posted
2021-07-28,"Kiosk E Idaho Avenu","Kiosk 2601 E  Idaho AvenuONTARIO      OR",Cash,-84.00,Posted
2021-07-28,"ATM Rebate","ATM REBATE",Reimbursement,4.00,Posted
2021-07-28,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,30.00,Posted
2021-07-28,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,10.00,Posted
2021-07-27,"McDonald's","MCDONALD'S F7594         LONGMONT     CO",Fast Food,-12.33,Posted
2021-07-27,"McDonald's","MCDONALD'S F13510        WINDSOR      CO",Fast Food,-2.77,Posted
2021-07-26,"Ace Hardware","WINDSOR ACE HDWE         WINDSOR      CO",Home Improvement,-78.00,Posted
2021-07-26,"Livwell B Bert","LIVWELL B LIVWELL BERT   BERTHOUD     CO",Shopping,-47.00,Posted
2021-07-26,"Sonic","SONIC DRIVE IN #5809     GREELEY      CO",Fast Food,-8.49,Posted
2021-07-26,"Taco Bell","TACO BELL 036116         TIMNATH      CO",Fast Food,-7.00,Posted
2021-07-23,"Sonic","SONIC DRIVE IN #5809     GREELEY      CO",Fast Food,-8.92,Posted
2021-07-23,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,200.00,Posted
2021-07-21,"Arby's","ARBY'S 5009011           GREELEY      CO",Fast Food,-7.15,Posted
2021-07-20,"Livwell Ga","LIVWELL - LIVWELL - GA   GARDEN CITY  CO",Shopping,-14.29,Posted
2021-07-19,"Barnes & Noble","BARNESNOBLE4045 S. CollegFT. COLLINS  CO",Books,-20.42,Posted
2021-07-16,"Livwell Ga","LIVWELL - LIVWELL - GA   GARDEN CITY  CO",Shopping,-90.95,Posted
2021-07-14,"Docker Inv A Ac Coca","DOCKER:INV-5806C5A2-AC   WWW.DOCKER.COCA",Internet,-7.00,Posted
2021-07-13,"Expedited Mail Fee","EXPEDITED MAIL FEE",Fees & Charges,-8.00,Posted
2021-07-13,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-30.00,Posted
2021-07-13,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-8.00,Posted
2021-07-13,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,200.00,Posted
2021-07-07,"Overdraft Credit Card Advance","OD CC ADVANCE",Finance Charge,100.00,Posted
2021-07-06,"PayPal Purchase","PAYPAL           INST XFER  ***********0802",Uncategorized,-300.00,Posted
2021-07-06,"Amazon Web Services","Amazon web services      AWS.AMAZON.COWA",Hosting,-113.75,Posted
2021-07-06,"Chick-fil-A","CHICK-FIL-A #03676       TIMNATH      CO",Fast Food,-10.34,Posted
2021-07-06,"SiriusXM","SXM*SIRIUSXM.COM/ACCT    888-635-5144 NY",Music,-10.02,Posted
2021-07-06,"Patreon","Patreon          Patreon    ***********M0A9",Entertainment,82.83,Posted
2021-07-02,"Bruces Tavern","BRUCES TAVERN            SEVERANCE    CO",Alcohol & Bars,-29.09,Posted
2021-07-01,"PayPal Purchase","PAYPAL           INST XFER  ***********TOPE",Uncategorized,-21.64,Posted
2021-07-01,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,300.00,Posted
2021-06-29,"Google Drive","GOOGLE *Google Storage   855-836-3987 CA",Electronics Software,-1.99,Posted
2021-06-21,"Livwell","LIVWELL F LIVWELL FORT   FORT COLLINS CO",Shopping,-25.01,Posted
2021-06-21,"McDonald's","MCDONALD'S F13510        WINDSOR      CO",Fast Food,-2.66,Posted
2021-06-17,"Starbucks","STARBUCKS STORE 26207    TINMATH      CO",Coffee Shops,-11.68,Posted
2021-06-17,"McDonald's","MCDONALD'S F13510        WINDSOR      CO",Fast Food,-2.77,Posted
2021-06-16,"Dollar General","DOLLAR GENERAL #DG 204489SEVERANCE    CO",Shopping,-14.52,Posted
2021-06-16,"Alleycat Cafe'","SQ *ALLEYCAT CAFE'       FORT COLLINS CO",Food & Dining,-12.37,Posted
2021-06-15,"PayPal Purchase","PAYPAL           INST XFER  ***********0997",Uncategorized,-225.00,Posted
2021-06-15,"Target","TARGET T- 2936 Council   FORT COLLINS CO",Shopping,-27.03,Posted
2021-06-15,"Csu Parking","CSU PARKING              FORT COLLINS CO",Parking,-11.00,Posted
2021-06-14,"PayPal Purchase","PAYPAL           INST XFER  ***********CHEY",Uncategorized,-100.00,Posted
2021-06-14,"Bank W 4th","TBK BANK SSB399 W 4TH AVESEVERANCE    CO",Cash,-503.00,Posted
2021-06-14,"Mountain Avfort","P446227262 E. MOUNTAIN AVFORT COLLINS CO",Cash,-118.50,Posted
2021-06-14,"BJ's Restaurant","BJ'S RESTAURANTS 539     FORT COLLINS CO",Restaurants,-80.12,Posted
2021-06-14,"Delt Fort Colli S Coll","Delt Fort Colli822 S CollFORT COLLINS CO",Cash,-38.00,Posted
2021-06-14,"Domino's","DOMINO'S 6339            970-689-1170 CO",Fast Food,-36.44,Posted
2021-06-14,"First Watch","FIRST WATCH - 422        FORT COLLINS CO",Restaurants,-35.56,Posted
2021-06-14,"Office Max","OFFICE MA 2211 S COLLE   FORT COLLINS CO",Office Supplies,-29.12,Posted
2021-06-14,"The Joint","THE JOINT                FORT COLLINS CO",Shopping,-9.65,Posted
2021-06-14,"Coca Cola","COCA COLA JOHNSTOWN CO   JOHNSTOWN    CO",Fast Food,-4.25,Posted
2021-06-14,"Coca Cola","COCA COLA JOHNSTOWN CO   JOHNSTOWN    CO",Fast Food,-2.00,Posted
2021-06-14,"CMS Vending","CMSVEND*CV DENVER        DENVER       CO",Fast Food,-1.60,Posted
2021-06-14,"ATM Rebate","ATM REBATE",Reimbursement,3.50,Posted
2021-06-14,"ATM Rebate","ATM REBATE",Reimbursement,3.00,Posted
2021-06-14,"ATM Rebate","ATM REBATE",Reimbursement,3.00,Posted
2021-06-14,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,320.00,Posted
2021-06-14,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,180.00,Posted
2021-06-11,"Target","TARGET T- 2936 Council   FORT COLLINS CO",Shopping,-14.83,Posted
2021-06-11,"Fort Collins Co","RUSHBOWLS_3              FORT COLLINS CO",Fast Food,-9.76,Posted
2021-06-11,"Coca Cola","COCA COLA JOHNSTOWN CO   JOHNSTOWN    CO",Fast Food,-1.75,Posted
2021-06-11,"Coca Cola","COCA COLA JOHNSTOWN CO   JOHNSTOWN    CO",Fast Food,-1.75,Posted
2021-06-11,"Target","TARGET T- 2936 Council   FORT COLLINS CO",Shopping,-1.05,Posted
2021-06-10,"Old Chicago","DOORDASH*OLD CHICAGO P   WWW.DOORDASH.CA",Restaurants,-37.34,Posted
2021-06-10,"Tokyo Joe's","TOKYO JOES FORT COLLIN   970-7973030  CO",Fast Food,-22.32,Posted
2021-06-10,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,250.00,Posted
2021-06-10,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,200.00,Posted
2021-06-10,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,75.00,Posted
2021-06-09,"Amazon Credit Card","PAYMENT FOR AMZ  STORECARD  ***********0342",Credit Card Payment,-600.00,Posted
2021-06-09,"Amazon Web Services","Amazon web services      AWS.AMAZON.COWA",Hosting,-109.54,Posted
2021-06-09,"Red Star Vapor","SQ *RED STAR VAPOR       GREELEY      CO",Shopping,-7.41,Posted
2021-06-09,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,500.00,Posted
2021-06-08,"Olive Garden","OLIVE GARDEN #00015834   GREELEY      CO",Restaurants,-51.30,Posted
2021-06-08,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-50.00,Posted
2021-06-08,"Docker Inv F Coca","DOCKER:INV-32F93C2C-E9   WWW.DOCKER.COCA",Internet,-7.00,Posted
2021-06-08,"Ignite Smoke And Vapor","IGNITE SMOKE AND VAPOR   WINDSOR      CO",Shopping,-5.75,Posted
2021-06-07,"PayPal Transfer","PAYPAL           RETRY PYMT ***********TOPE",Transfer,-21.64,Posted
2021-06-07,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-50.00,Posted
2021-06-07,"Domino's","DOMINO'S 6339            970-689-1170 CO",Fast Food,-38.42,Posted
2021-06-07,"Delt Berthoud N 2nd","Delt Berthoud801 N 2nd StBERTHOUD     CO",Cash,-33.00,Posted
2021-06-07,"The Windsor","THE WINDSOR GARDENER     WINDSOR      CO",Hotel,-29.87,Posted
2021-06-07,"Chick-fil-A","CHICK-FIL-A #03676       TIMNATH      CO",Fast Food,-26.06,Posted
2021-06-07,"Civic Center Parking","CIVIC CENTER PARKING G   970-2216617  CO",Parking,-1.00,Posted
2021-06-07,"ATM Rebate","ATM REBATE",Reimbursement,3.00,Posted
2021-06-07,"Patreon","Patreon          Patreon    ***********L1C9",Entertainment,706.22,Posted
2021-06-07,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,100.00,Posted
2021-06-07,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,15.00,Posted
2021-06-04,"Bank W 4th","TBK BANK SSB399 W 4TH AVESEVERANCE    CO",Cash,-703.00,Posted
2021-06-04,"Red Lobster","RED LOBSTER 0484         GREELEY      CO",Restaurants,-86.21,Posted
2021-06-04,"Sei 20th","SEI 390754695 20TH ST    GREELEY      CO",Gas,-42.78,Posted
2021-06-04,"ATM Rebate","ATM REBATE",Reimbursement,3.00,Posted
2021-06-04,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,700.00,Posted
2021-06-04,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,30.00,Posted
2021-06-04,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,29.00,Posted
2021-06-04,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,15.01,Posted
2021-06-04,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,15.00,Posted
2021-06-03,"Dollar General","DOLLAR GENERAL #DG 204489SEVERANCE    CO",Shopping,-5.00,Posted
2021-06-03,"Coffee On The Rocks","SQ *COFFEE ON THE ROCKS  ESTES PARK   CO",Coffee Shops,-4.34,Posted
2021-06-03,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,100.00,Posted
2021-06-02,"NSF FEE - ITEM RETURNED - ACH - PAYPAL          INST XFER","NSF FEE - ITEM RETURNED - ACH - PAYPAL          INST XFER",Uncategorized,-29.00,Posted
2021-06-02,"Loaf 'N Jug","LOAF N JUG # 082 561 BIG ESTES PARK   CO",Gas,-13.06,Posted
2021-06-02,"SiriusXM","SXM*SIRIUSXM.COM/ACCT    888-635-5144 NY",Music,-10.02,Posted
2021-06-02,"Dollar General","DOLLAR GENERAL #DG 204489SEVERANCE    CO",Shopping,-6.13,Posted
2021-06-02,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,31.00,Posted
2021-06-02,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,30.00,Posted
2021-06-02,"Non-Sufficient Funds Check Paid","NSF REV CHECK PAID",Check,21.64,Posted
2021-06-02,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,10.00,Posted
2021-06-01,"PayPal Purchase","PAYPAL           INST XFER  ***********TOPE",Uncategorized,-21.64,Posted
2021-06-01,"Beau Jos Pizza Collin","BEAU JOS PIZZA FT COLLIN FORT COLLINS CO",Food & Dining,-39.62,Posted
2021-06-01,"Jax Outdoor Gear","JAX OUTDOOR GEAR         FORT COLLINS CO",Sporting Goods,-28.30,Posted
2021-06-01,"Google Drive","GOOGLE*GOOGLE STORAGE    650-2530000  CA",Electronics & Software,-1.99,Posted
2021-05-28,"Love Your","SQ *LOVE YOUR LIFE!      FORT COLLINS CO",Shopping,-65.09,Posted
2021-05-28,"Delt Garden Cit 8th","Delt Garden Cit2415 8th AGARDEN CITY  CO",Cash,-63.00,Posted
2021-05-28,"Rock N Robins","ROCK N ROBINS            FORT COLLINS CO",Shopping,-39.26,Posted
2021-05-28,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-37.00,Posted
2021-05-28,"Coffee House","SQ *COFFEE HOUSE 29      WINDSOR      CO",Coffee Shops,-14.36,Posted
2021-05-28,"BJ's Restaurant","BJ'S RESTAURANTS 539     FORT COLLINS CO",Restaurants,-13.76,Posted
2021-05-28,"Zwei Brewing Co Fort Collins","SQ *ZWEI BREWING CO      FORT COLLINS CO",Alcohol & Bars,-12.00,Posted
2021-05-28,"Maggie S Tacos","SQ *MAGGIE?S TACOS LLC   FORT COLLINS CO",Restaurants,-8.50,Posted
2021-05-28,"ATM Rebate","ATM REBATE",Reimbursement,3.00,Posted
2021-05-28,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,30.00,Posted
2021-05-28,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,10.00,Posted
2021-05-27,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-35.00,Posted
2021-05-27,"Unc Blue Mug","SQ *UNC BLUE MUG         GREELEY      CO",Restaurants,-5.66,Posted
2021-05-27,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,250.00,Posted
2021-05-26,"Spavia Day Spa Fort Colfort","SPAVIA DAY SPA - FORT COLFORT COLLINS CO",Doctor,-329.00,Posted
2021-05-26,"Vatos Tacos & Tequila","VATOS TACOS & TEQUILA    FORT COLLINS CO",Restaurants,-17.64,Posted
2021-05-26,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,50.00,Posted
2021-05-24,"The Penrose Taphouse & Eafort","THE PENROSE TAPHOUSE & EAFORT COLLINS CO",Restaurants,-31.94,Posted
2021-05-24,"Sport Clips","SPORT CLIPS - CO301 - RAIFORT COLLINS CO",Hair,-30.00,Posted
2021-05-24,"Odell Brewing Company Incfort","ODELL BREWING COMPANY INCFORT COLLINS CO",Alcohol & Bars,-16.00,Posted
2021-05-24,"Fort","RMCF FT COLLINS CO 50454 FORT COLLINS CO",Groceries,-14.28,Posted
2021-05-24,"Chick-fil-A","CHICK-FIL-A #03676       TIMNATH      CO",Fast Food,-11.09,Posted
2021-05-24,"Dollar General","DOLLAR GENERAL #DG 204489SEVERANCE    CO",Shopping,-3.15,Posted
2021-05-24,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,70.00,Posted
2021-05-24,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,31.00,Posted
2021-05-24,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,30.00,Posted
2021-05-24,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,20.00,Posted
2021-05-20,"SiriusXM","SXM*SIRIUSXM.COM/ACCT    888-635-5144 NY",Music,-10.02,Posted
2021-05-19,"Red Star Vapor","SQ *RED STAR VAPOR       GREELEY      CO",Shopping,-15.33,Posted
2021-05-18,"Phillips 66","PHILLIPS 66 - UNITED PACIDENVER       CO",Gas,-29.90,Posted
2021-05-17,"Walmart","Wal-Mart Super Center4599TIMNATH      CO   C",Shopping,-163.55,Posted
2021-05-17,"Lowe's","LOWE'S #26974227 CORBETT FORT COLLINS CO",Home Improvement,-32.33,Posted
2021-05-17,"Bath Nursery & Garden Cenfort","BATH NURSERY & GARDEN CENFORT COLLINS CO",Lawn & Garden,-18.25,Posted
2021-05-17,"Xpress W 4th Ave","74 XPRESS325 W 4TH AVE   SEVERANCE    CO",Gas,-18.21,Posted
2021-05-17,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,120.00,Posted
2021-05-14,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,250.00,Posted
2021-05-13,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-100.00,Posted
2021-05-12,"Expedited Mail Fee","EXPEDITED MAIL FEE",Fees & Charges,-8.00,Posted
2021-05-11,"Panda Express","PANDA EXPRESS #3403      TIMNATH      CO",Fast Food,-9.00,Posted
2021-05-11,"The Joint","THE JOINT                FORT COLLINS CO",Shopping,-8.01,Posted
2021-05-10,"Amazon Credit Card","PAYMENT FOR AMZ  STORECARD  ***********3757",Credit Card Payment,-500.00,Posted
2021-05-10,"Nature S Own Linden Sfort","NATURE S OWN 201 LINDEN SFORT COLLINS CO",Shopping,-78.24,Posted
2021-05-10,"Mountain Avfort","P446228262 E. MOUNTAIN AVFORT COLLINS CO",Cash,-38.50,Posted
2021-05-10,"USAA Transfer","USAA FUNDS TRANSFER DB",Transfer,-30.00,Posted
2021-05-10,"Nuance Chocolate Compfort","SQ *NUANCE CHOCOLATE COMPFORT COLLINS CO",Groceries,-20.87,Posted
2021-05-10,"Dollar General","DOLLAR GENERAL #DG 204489SEVERANCE    CO",Shopping,-14.25,Posted
2021-05-10,"Poudre Liquors","POUDRE LIQUORS           FORT COLLINS CO",Alcohol & Bars,-12.36,Posted
2021-05-10,"Burger King","BURGER KING #18249       GREELEY      CO",Fast Food,-10.32,Posted
2021-05-10,"Docker Inv Ee De Coca","DOCKER:INV-EE64DE69-C8   WWW.DOCKER.COCA",Internet,-7.00,Posted
2021-05-10,"Jax Outdoor Gear","JAX OUTDOOR GEAR         FORT COLLINS CO",Sporting Goods,-5.47,Posted
2021-05-10,"Eileens Cookies","SQ *EILEENS COOKIES      FORT COLLINS CO",Food & Dining,-4.83,Posted
2021-05-10,"ATM Rebate","ATM REBATE",Reimbursement,3.50,Posted
2021-05-07,"ATM Service Fee","ATM SERVICE FEE",Service Fee,-2.00,Posted
2021-05-07,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,500.00,Posted
2021-05-06,"Delt Garden Cit 8th","Delt Garden Cit2415 8th AGARDEN CITY  CO",Cash,-83.00,Posted
2021-05-06,"Ignite Smoke And Vapor","IGNITE SMOKE AND VAPOR   WINDSOR      CO",Shopping,-11.94,Posted
2021-05-05,"Burger King","BURGER KING #18249       GREELEY      CO",Fast Food,-11.21,Posted
2021-05-04,"Amazon Web Services","Amazon web services      AWS.AMAZON.COWA",Hosting,-190.76,Posted
2021-05-04,"Delt Garden Cit 8th","Delt Garden Cit2415 8th AGARDEN CITY  CO",Cash,-33.00,Posted
2021-05-03,"Amazon Credit Card","PAYMENT FOR AMZ  STORECARD  ***********8088",Credit Card Payment,-422.53,Posted
2021-05-03,"PayPal Purchase","PAYPAL           INST XFER  ***********TOPE",Uncategorized,-21.64,Posted
2021-05-03,"Dick's Sporting Goods","DICK'S SPORTING GOODS    FORT COLLINS CO",Sporting Goods,-230.06,Posted
2021-05-03,"Mountain Avfort","P446227262 E. MOUNTAIN AVFORT COLLINS CO",Cash,-28.50,Posted
2021-05-03,"Mountain Avfort","P446228262 E. MOUNTAIN AVFORT COLLINS CO",Cash,-18.50,Posted
2021-05-03,"Audible","Audible*ZC05Q4UZ3        AMZN.COM/BILLNJ",Books,-15.83,Posted
2021-05-03,"Panda Express","PANDA EXPRESS #3403      TIMNATH      CO",Fast Food,-9.65,Posted
2021-05-03,"Patreon","Patreon          Patreon    ***********O2L0",Entertainment,795.08,Posted
2021-05-03,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,700.00,Posted
2021-04-30,"Delt Garden Cit 8th","Delt Garden Cit2712 8th AGREELEY      CO",Cash,-38.00,Posted
2021-04-30,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,200.00,Posted
2021-04-29,"Google Drive","GOOGLE*GOOGLE STORAGE    650-2530000  CA",Electronics & Software,-1.99,Posted
2021-04-26,"ATM Withdrawal","PAI ISO1015 N. 2ND ST    BERTHOUD     CO",Cash,-42.50,Posted
2021-04-26,"McDonald's","MCDONALD'S F190          FORT COLLINS CO",Fast Food,-7.95,Posted
2021-04-23,"Burger King","BURGER KING #18249       GREELEY      CO",Fast Food,-9.19,Posted
2021-04-22,"Mountain Avfort","P446228262 E. MOUNTAIN AVFORT COLLINS CO",Cash,-88.50,Posted
2021-04-22,"ATM Rebate","ATM REBATE",Reimbursement,3.00,Posted
2021-04-22,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,100.00,Posted
2021-04-21,"Burger King","BURGER KING #18249       GREELEY      CO",Fast Food,-3.31,Posted
2021-04-20,"AutoZone","AUTOZONE  0846 2815 17TH GREELEY      CO",Service & Parts,-32.09,Posted
2021-04-20,"Ignite Smoke And Vapor","IGNITE SMOKE AND VAPOR   WINDSOR      CO",Shopping,-32.04,Posted
2021-04-20,"Delt Garden Cit 25th","Delt Garden Cit725 25th SGARDEN CITY  CO",Cash,-18.00,Posted
2021-04-20,"Ignite Smoke And Vapor","IGNITE SMOKE AND VAPOR   WINDSOR      CO",Shopping,-5.43,Posted
2021-04-20,"ATM Rebate","ATM REBATE",Reimbursement,3.00,Posted
2021-04-20,"USAA Transfer","USAA FUNDS TRANSFER CR",Transfer,32.00,Posted
2021-04-19,"PayPal Purchase","PAYPAL           INST XFER  ***********0724",Uncategorized,-192.00,Posted
